DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,Country code,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,ER_2010,ER_2011,ER_2012,ER_2013,ER_2014,ER_2015,ER_2016,ER_2017,ER_2018,ER_2019,ER_2020,ER_2021,ER_2022,ER_2023,ER_2024,ER_2025
IMF.STA:ER(4.0.1),CPV.XDC_USD.PA_RT.A,OBS_VALUE,Cabo Verde,CPV,Domestic currency per US Dollar,Period average,Annual,Units,83.27868938,79.27688148,86.31895418,83.0725,83.0345,99.38569354,99.68811364,97.80693777,93.41357891,98.49517859,96.79574279,93.21809241,104.8630658,101.8048125,101.9220108,
IMF.STA:ER(4.0.1),MYS.XDC_USD.PA_RT.A,OBS_VALUE,Malaysia,MYS,Domestic currency per US Dollar,Period average,Annual,Units,3.221086915,3.060003011,3.088800867,3.15090855,3.272859746,3.905500263,4.148300663,4.300440878,4.035130137,4.142469736,4.203481949,4.143297598,4.401076345,4.560623432,4.576427911,
IMF.STA:ER(4.0.1),MWI.XDC_USD.PA_RT.A,OBS_VALUE,Malawi,MWI,Domestic currency per US Dollar,Period average,Annual,Units,150.4858333,156.5158333,249.1066667,364.4058333,424.8966667,499.6058333,718.005,730.2725,732.3333333,745.5406679,749.5274939,805.8996501,949.0390167,1161.094367,,
IMF.STA:ER(4.0.1),THA.XDC_USD.PA_RT.A,OBS_VALUE,Thailand,THA,Domestic currency per US Dollar,Period average,Annual,Units,31.685705,30.49173333,31.08309167,30.72596667,32.47983333,34.24771667,35.29638333,33.93981106,32.31022574,31.04760578,31.29367321,31.97709344,35.06135021,34.80218858,35.29353808,
IMF.STA:ER(4.0.1),MOZ.XDC_USD.PA_RT.A,OBS_VALUE,"Mozambique, Republic of",MOZ,Domestic currency per US Dollar,Period average,Annual,Units,33.9600988,29.06759993,28.37298448,30.10411109,31.3526877,39.98247415,63.05623273,63.58432291,60.32620764,62.54833333,69.465,65.465,63.85083333,63.88583333,63.905,
IMF.STA:ER(4.0.1),IND.XDC_USD.PA_RT.A,OBS_VALUE,India,IND,Domestic currency per US Dollar,Period average,Annual,Units,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865,68.38946709,70.42034054,74.09956688,73.91801282,78.60449058,82.59927645,83.66928158,
IMF.STA:ER(4.0.1),CHE.XDC_USD.PA_RT.A,OBS_VALUE,Switzerland,CHE,Domestic currency per US Dollar,Period average,Annual,Units,1.042905646,0.888042028,0.937684481,0.926903548,0.916151047,0.962381328,0.985394394,0.984691667,0.977891667,0.993709167,0.938965,0.913845833,0.9548325,0.89849,0.880440833,
IMF.STA:ER(4.0.1),DJI.XDC_USD.PA_RT.A,OBS_VALUE,Djibouti,DJI,Domestic currency per US Dollar,Period average,Annual,Units,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,
IMF.STA:ER(4.0.1),KEN.XDC_USD.PA_RT.A,OBS_VALUE,Kenya,KEN,Domestic currency per US Dollar,Period average,Annual,Units,79.2331517,88.81076997,84.52960176,86.1228789,87.92216381,98.17845333,101.5043695,103.4100045,101.301574,101.9912984,106.4507802,109.6377466,117.8659892,139.8463838,134.8224833,
IMF.STA:ER(4.0.1),PYF.XDC_USD.PA_RT.A,OBS_VALUE,French Polynesia,PYF,Domestic currency per US Dollar,Period average,Annual,Units,90.01297411,85.72955183,92.88041108,89.8502215,89.82433538,107.5532344,107.8068158,105.6330782,101.0468219,106.5889338,104.7106082,100.8802226,113.4743672,110.3471713,110.3063389,
